Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
HCC7,1,1,6,11,25,14,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,71,71,2.84,294.3333333,0.333333333,4,,,0.957746479,,7.169577465,53,0.746478873
HCPT,1,1,6,2,11,22,37,1,8,0,4,0,9,0,5,0,2,1,4,0,2,0,0,0,51,0,18,0,9,0,7,0,2,0,0,1,7,0,3,0,1,0,6,3,138,141,5.75,227.3333333,1,-9,-3,0.666666667,0.65942029,25.52,11.62,69,0.489361702
C7C7,1,1,6,15,39,10,13,1,7,0,0,1,4,0,0,0,6,0,5,0,13,0,0,0,61,0,4,0,1,0,0,0,16,0,0,1,7,0,1,0,10,0,3,3,138,141,5.52,227.3333333,1,-7,-2.333333333,1,0.905797101,22.76,13.39971014,65,0.460992908
C7PT,1,1,6,12,21,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0,8,0,1,0,0,0,0,0,0,1,31,0,0,1,10,0,0,2,106,108,4.24,259.3333333,0.555555556,-62,-31,1,0.924528302,24.14,8.894339623,63,0.583333333
PTPT,1,1,6,9,16,14,43,2,23,2,3,0,7,0,3,0,34,0,7,0,4,0,0,0,56,1,24,1,9,0,0,0,7,1,0,0,0,0,5,2,9,0,15,9,206,215,8.956521739,159.3333333,1,-42,-4.666666667,0.555555556,0.723300971,24.21777778,16.17203883,81,0.376744186
C,2,1,6,10,19,5,21,0,49,0,4,0,19,0,1,1,18,0,0,0,12,0,4,1,113,0,145,2,7,0,3,5,42,0,8,0,44,0,10,1,26,2,14,12,519,531,34.6,-153.6666667,1,231,19.25,0.833333333,0.63583815,24.54333333,12.62635838,259,0.487758945
HCHC,2,1,6,15,17,7,30,1,3,0,0,0,9,0,12,3,19,0,2,0,15,0,5,0,63,0,21,0,0,0,2,0,7,0,0,1,20,0,6,0,4,0,13,5,201,206,9.136363636,164.3333333,1,48,9.6,1,0.696517413,26.624,13.61910448,84,0.40776699
HCC7,2,1,6,11,33,17,35,0,1,0,1,1,26,0,1,1,8,0,1,0,1,0,1,0,29,0,1,0,10,0,0,0,37,0,0,0,11,0,3,0,54,0,7,2,192,194,6.857142857,173.3333333,1,42,21,1,0.921875,24.14,21.575625,30,0.154639175
HCPT,2,1,6,22,46,4,29,0,35,0,0,0,13,0,16,0,3,0,4,0,39,0,3,0,92,0,29,0,21,0,12,1,14,0,13,0,27,0,15,2,17,0,10,3,363,366,13.96153846,2.333333333,1,152,50.66666667,1,0.719008264,28.28,15.5230854,121,0.330601093
C7C7,2,1,6,12,30,9,56,0,1,0,5,0,6,0,2,0,10,0,3,1,20,0,2,0,115,0,2,2,22,0,0,0,2,0,4,0,10,0,0,1,5,0,4,4,213,217,10.14285714,152.3333333,1,8,2,1,0.896713615,22.07,10.33577465,117,0.539170507
C7PT,2,1,6,8,14,9,26,1,14,0,7,0,0,0,1,0,16,0,1,0,1,0,0,0,43,0,59,0,6,0,2,0,5,0,0,0,36,0,5,2,26,0,1,3,223,226,13.11764706,142.3333333,1,79,26.33333333,1,0.659192825,28.28,13.45112108,102,0.451327434
PTPT,2,1,6,11,24,6,14,2,99,0,12,1,14,0,4,1,10,0,2,1,37,0,6,0,80,1,63,0,2,0,7,0,53,1,21,0,41,0,10,2,33,0,17,9,511,520,30.05882353,-145.6666667,1,249,27.66666667,0.777777778,0.722113503,23.29777778,18.40540117,144,0.276923077
C,3,1,6,18,34,5,35,2,30,0,2,0,40,0,11,0,6,0,3,1,23,1,12,0,122,0,59,1,7,0,8,1,43,0,19,0,6,0,0,1,51,0,6,7,448,455,19.47826087,-82.66666667,1,193,27.57142857,0.857142857,0.732142857,24.73142857,14.87678571,181,0.397802198
HCHC,3,1,6,17,46,4,17,1,0,0,0,0,0,1,0,1,25,0,2,0,3,0,2,0,56,0,1,1,1,0,1,1,8,0,4,2,34,0,3,0,17,0,0,7,157,164,7.476190476,208.3333333,1,-28,-4,0.857142857,0.917197452,23.54857143,15.6922293,57,0.347560976
HCC7,3,1,6,17,35,6,25,0,9,0,1,0,0,0,2,1,24,0,5,0,1,0,0,2,88,0,0,0,0,0,0,0,0,0,0,1,15,0,4,0,15,0,1,4,165,169,7.173913043,200.3333333,0.777777778,1,0.25,1,0.921212121,12.07,12.09333333,90,0.532544379
HCPT,3,1,6,9,26,12,48,1,4,1,4,1,15,0,1,2,35,0,1,0,2,0,0,3,90,0,52,1,20,0,6,0,0,0,0,2,13,0,2,1,22,0,0,12,267,279,12.71428571,98.33333333,0.888888889,41,3.416666667,0.916666667,0.752808989,18.45,11.41003745,145,0.519713262
C7C7,3,1,6,13,27,10,36,0,0,0,1,1,22,0,2,0,1,0,1,0,13,0,1,3,83,0,8,0,1,0,1,0,0,1,10,0,0,0,1,1,36,0,0,6,181,187,7.869565217,184.3333333,1,39,6.5,0.833333333,0.861878453,12.76,12.18629834,94,0.502673797
C7PT,3,1,6,14,30,8,34,1,4,0,2,0,7,0,7,0,3,0,2,0,0,0,0,0,71,0,4,1,13,0,0,0,1,0,3,0,3,0,0,1,5,0,1,3,126,129,5.727272727,239.3333333,0.888888889,22,7.333333333,1,0.849206349,25.52,9.475238095,75,0.581395349
PTPT,3,1,6,10,33,11,40,0,2,0,4,2,27,0,1,1,13,0,7,0,58,0,12,0,64,0,53,0,2,0,0,0,9,0,10,0,46,0,8,1,12,1,5,5,333,338,15.85714286,32.33333333,1,131,26.2,0.8,0.6996997,24.968,14.51459459,117,0.346153846
C,4,1,6,12,31,11,42,1,16,0,0,0,14,0,0,2,24,0,4,0,0,0,0,3,54,0,8,0,0,0,0,0,1,0,0,0,14,0,0,1,56,0,2,7,193,200,8.391304348,172.3333333,0.777777778,42,6,1,0.92746114,16.16,17.99398964,65,0.325
HCHC,4,1,6,12,15,10,21,1,14,0,0,1,25,0,0,0,2,0,0,0,2,0,0,1,40,0,1,0,0,0,1,1,14,0,0,1,8,0,0,0,7,0,0,5,114,119,5.181818182,251.3333333,1,49,9.8,1,0.98245614,19.312,15.49438596,42,0.352941176
HCC7,4,1,6,15,20,8,32,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,7,0,0,1,2,0,0,1,15,0,0,1,6,0,0,1,16,0,0,4,61,65,2.652173913,304.3333333,0.888888889,9,2.25,1,1,24.14,23.54163934,7,0.107692308
HCPT,4,1,6,16,22,9,41,2,18,1,8,2,16,0,0,0,3,0,1,1,14,0,0,0,60,0,12,0,12,0,1,2,25,0,9,0,6,0,0,0,18,0,13,8,216,224,8.64,149.3333333,1,61,7.625,0.875,0.796296296,25.175,16.975,72,0.321428571
C7C7,4,1,6,12,32,11,35,0,3,0,0,0,1,0,2,0,6,0,0,0,10,0,0,2,30,0,2,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,66,68,2.869565217,299.3333333,0.777777778,8,4,1,0.878787879,0,11.55757576,34,0.5
C7PT,4,1,6,14,22,11,27,0,10,0,0,0,29,0,1,1,23,0,1,0,32,0,0,0,63,0,0,0,9,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,180,181,7.2,185.3333333,0.888888889,28,28,1,0.988888889,28.28,14.978,63,0.348066298
PTPT,4,1,6,7,22,11,22,0,5,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,48,0,2,0,3,0,0,0,11,0,0,1,8,0,0,0,19,0,0,1,102,103,5.666666667,263.3333333,0.888888889,17,17,1,0.960784314,20,13.44313725,50,0.485436893
C,5,1,6,13,31,9,21,1,31,1,6,2,7,0,1,1,11,0,4,0,42,0,7,1,93,0,14,0,0,0,0,5,17,0,0,1,22,1,6,1,14,1,1,15,276,291,12.54545455,89.33333333,0.888888889,82,5.466666667,0.8,0.858695652,24.18666667,14.76637681,108,0.371134021
HCHC,5,1,6,14,20,12,44,0,1,0,2,0,0,0,2,0,1,0,0,1,12,0,1,0,43,0,16,0,0,0,1,0,3,0,2,2,11,0,0,0,17,0,0,3,112,115,4.307692308,253.3333333,1,-39,-13,1,0.785714286,20,11.38642857,59,0.513043478
HCC7,5,1,6,16,17,12,40,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,35,38,1.25,330.3333333,0.555555556,-94,-31.33333333,0.666666667,0.971428571,22.76,19.09371429,2,0.052631579
HCPT,5,1,6,12,36,10,30,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,50,0,36,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,97,100,4.409090909,268.3333333,0.555555556,-24,-8,1,0.577319588,9.426666667,2.86556701,88,0.88
C7C7,5,1,6,15,20,7,60,0,3,1,31,0,9,0,1,2,32,0,0,0,0,0,0,1,81,0,9,0,0,0,0,0,1,0,0,2,7,0,0,3,27,0,1,9,202,211,9.181818182,163.3333333,0.777777778,57,6.333333333,0.888888889,0.792079208,23.29777778,14.98316832,91,0.431279621
C7PT,5,1,6,10,13,7,38,1,19,0,0,0,0,0,1,1,0,0,1,2,16,0,0,3,75,0,1,1,7,1,0,0,6,0,1,0,0,0,0,0,14,1,2,10,143,153,8.411764706,222.3333333,0.888888889,30,3,0.8,0.958041958,16.484,11.86041958,79,0.516339869
PTPT,5,1,6,15,38,8,18,0,5,1,5,1,19,0,10,2,15,1,11,1,33,0,3,0,107,0,33,1,4,0,3,2,39,0,13,1,15,0,9,4,46,1,6,15,376,391,16.34782609,-10.66666667,1,118,7.866666667,0.8,0.752659574,26.072,15.63617021,140,0.358056266
C,6,1,6,2,6,18,27,4,48,0,6,1,26,0,23,1,19,0,19,0,0,0,1,1,85,0,31,0,16,0,6,3,29,0,17,3,36,1,32,0,3,1,12,15,409,424,20.45,-43.66666667,1,185,12.33333333,0.866666667,0.640586797,23.63466667,17.42503667,117,0.275943396
HCHC,6,1,6,13,40,8,30,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,83,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,13,0,1,0,105,105,5,260.3333333,0.888888889,-19,,,0.961904762,,5.531047619,83,0.79047619
C7C7,6,1,6,12,25,9,19,1,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,53,0,2,0,1,0,4,0,0,0,0,2,36,0,1,1,36,0,1,9,142,151,6.761904762,223.3333333,0.666666667,29,3.222222222,1,0.929577465,10.72888889,14.87746479,60,0.397350993
PTPT,6,1,6,16,30,6,26,0,17,2,10,0,2,0,5,1,10,0,0,0,3,0,0,1,106,0,5,3,7,0,7,0,17,0,0,2,16,0,7,2,44,0,13,11,269,280,12.22727273,96.33333333,1,68,6.181818182,0.818181818,0.82527881,21.94545455,15.16386617,112,0.4
C,1,2,2,19,4,2,23,3,4,0,0,1,1,0,0,2,2,0,0,0,0,0,0,6,74,4,50,0,0,1,4,0,0,0,0,3,8,0,0,2,4,0,0,22,147,169,7,-8,0.777777778,120,5.454545455,0.772727273,0.632653061,13.54363636,3.692517007,134,0.792899408
HCHC,1,2,2,23,29,2,12,2,11,0,0,2,4,0,0,1,3,0,0,2,10,0,0,5,22,0,0,2,16,0,0,2,10,0,1,2,8,0,0,0,8,1,0,19,93,112,3.72,49,1,52,2.736842105,0.947368421,0.989247312,17.35157895,18.20688172,27,0.241071429
HCC7,1,2,2,14,19,6,12,0,0,0,0,0,0,0,0,4,6,0,1,0,0,0,0,0,61,0,0,0,7,0,0,1,0,0,0,1,5,0,0,3,7,0,0,9,87,96,4.35,65,0.666666667,56,6.222222222,1,0.988505747,27.36,7.309425287,61,0.635416667
HCPT,1,2,2,19,21,3,17,0,0,0,0,1,8,0,0,1,7,0,0,2,2,0,0,6,32,0,3,1,4,1,2,0,0,0,2,0,0,0,4,3,11,0,0,15,75,90,3.409090909,71,0.888888889,37,2.466666667,0.933333333,0.853333333,14.208,12.87466667,41,0.455555556
C7C7,1,2,2,16,24,3,12,2,4,0,0,0,0,0,0,1,0,0,0,1,17,0,0,5,67,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,94,104,4.947368421,57,0.555555556,58,5.8,1,0.946808511,13.312,5.121276596,77,0.740384615
C7PT,1,2,2,13,20,7,6,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,10,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,17,72,89,3.6,72,0.555555556,46,2.705882353,1,1,11.64470588,0.785555556,80,0.898876404
PTPT,1,2,2,16,13,6,18,1,0,0,0,2,0,1,0,2,14,0,0,0,0,0,0,9,69,0,9,2,6,0,0,2,7,0,0,0,0,0,0,1,7,1,1,21,113,134,5.136363636,27,0.777777778,82,3.904761905,0.904761905,0.911504425,14.18857143,8.319646018,87,0.649253731
C,2,2,2,20,18,1,0,2,4,0,1,0,0,1,4,3,3,1,1,2,11,1,1,6,87,1,3,2,10,0,0,1,4,0,0,0,0,0,0,1,1,1,1,22,131,153,6.238095238,8,0.888888889,113,5.136363636,0.772727273,0.916030534,17.02363636,7.207633588,97,0.633986928
HCHC,2,2,2,20,28,2,5,2,6,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,38,1,2,0,0,0,0,0,0,0,0,1,8,0,0,3,7,1,0,11,64,75,2.909090909,86,0.777777778,31,2.818181818,0.818181818,0.96875,19.81454545,9.181875,43,0.573333333
HCC7,2,2,2,19,19,1,14,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,4,0,0,0,0,1,0,0,0,1,3,0,0,2,1,1,0,7,31,38,1.55,123,0.666666667,-2,-0.285714286,0.857142857,0.870967742,25.91428571,8.054193548,21,0.552631579
HCPT,2,2,2,17,22,2,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,81,0,8,0,0,0,0,1,0,0,0,2,4,0,1,0,1,0,0,12,96,108,5.052631579,53,0.666666667,58,4.833333333,1,0.90625,9.713333333,1.544583333,96,0.888888889
C7C7,2,2,2,17,18,6,25,2,5,0,0,2,3,0,0,0,0,0,0,3,4,0,0,4,69,0,0,0,0,0,0,2,4,0,0,1,5,0,0,2,4,0,0,16,94,110,4.086956522,51,0.777777778,51,3.1875,1,1,18.105,6.464255319,73,0.663636364
C7PT,2,2,2,18,32,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,18,98,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,22,119,141,5.666666667,20,0.333333333,79,3.590909091,1,0.907563025,4.389090909,2.127058824,126,0.893617021
PTPT,2,2,2,17,22,5,12,2,2,1,0,1,0,0,0,0,0,0,0,1,2,0,0,9,86,0,27,1,2,0,0,1,0,0,0,2,0,0,0,1,1,1,0,20,120,140,5.454545455,21,0.888888889,86,4.3,0.9,0.775,13.484,1.373666667,122,0.871428571
C,3,2,2,20,25,3,14,1,1,0,0,1,1,0,0,3,9,0,0,2,13,0,0,6,98,1,22,0,15,0,1,0,7,0,0,0,0,0,0,1,7,1,0,16,174,190,7.565217391,-29,0.888888889,135,8.4375,0.875,0.867816092,14.355,7.348965517,127,0.668421053
HCHC,3,2,2,18,31,4,15,0,0,0,0,1,2,0,0,1,4,0,0,0,0,0,0,6,61,0,2,3,10,0,0,1,1,0,0,0,1,1,0,1,3,0,0,14,84,98,3.818181818,63,0.777777778,38,2.714285714,0.928571429,0.976190476,13.20285714,5.788571429,69,0.704081633
HCC7,3,2,2,21,22,1,7,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,5,50,0,0,2,8,0,0,0,0,0,0,0,2,1,0,2,8,1,0,15,71,86,3.227272727,75,0.777777778,42,2.8,0.733333333,0.957746479,16.64533333,7.198309859,55,0.639534884
HCPT,3,2,2,20,33,1,5,1,4,0,0,1,2,0,0,0,0,1,2,1,2,0,3,7,76,0,2,2,1,0,0,1,3,0,1,0,0,1,0,3,9,0,0,18,105,123,5,38,1,67,3.722222222,0.888888889,0.923809524,14.98222222,6.641142857,85,0.691056911
C7C7,3,2,2,14,22,5,24,0,0,0,0,1,8,0,0,0,0,0,0,0,4,0,0,12,76,0,2,1,4,0,0,0,0,0,0,1,0,1,0,1,3,0,0,17,97,114,5.105263158,47,0.666666667,51,3,0.941176471,0.979381443,6.369411765,4.173608247,90,0.789473684
C7PT,3,2,2,14,39,10,17,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,7,70,0,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,14,79,93,3.291666667,68,0.555555556,23,1.642857143,0.928571429,0.974683544,11.18285714,1.981772152,79,0.849462366
PTPT,3,2,2,18,26,3,9,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,2,12,86,1,31,1,2,0,0,1,1,0,1,0,0,0,0,2,11,0,0,20,141,161,6.714285714,0,0.777777778,106,5.3,0.95,0.758865248,9.07,4.52,130,0.807453416
C,4,2,2,17,18,5,7,0,0,0,0,2,4,1,0,1,0,0,0,0,0,1,1,9,89,4,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20,110,130,5,31,0.666666667,85,4.25,0.65,0.854545455,8.242,1.348,116,0.892307692
HCHC,4,2,2,20,26,4,8,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,8,64,2,18,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,15,88,103,3.666666667,58,0.555555556,54,3.6,0.8,0.795454545,7.218666667,1.363636364,92,0.893203883
HCC7,4,2,2,20,22,2,9,1,0,0,0,1,4,0,0,0,10,1,5,0,0,0,0,5,35,0,4,0,0,1,0,3,13,0,0,3,4,1,3,1,4,0,0,17,82,99,3.727272727,62,0.888888889,51,3,0.823529412,0.853658537,17.04,13.71902439,44,0.444444444
HCPT,4,2,2,12,22,9,23,1,1,0,0,1,3,0,1,1,3,0,0,0,0,0,4,10,80,0,0,2,6,0,4,0,0,0,0,0,2,0,3,1,6,0,2,16,115,131,5.476190476,30,0.888888889,70,4.375,1,0.87826087,9.0525,6.950956522,90,0.687022901
C7C7,4,2,2,16,26,4,11,0,1,0,0,1,3,0,0,4,4,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,10,0,0,8,23,31,1.15,130,0.777777778,-14,-1.75,1,1,26.21,25.4,0,0
C7PT,4,2,2,17,35,3,12,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,5,18,23,0.9,138,0.666666667,-29,-5.8,1,1,24.968,24.21777778,2,0.086956522
PTPT,4,2,2,22,37,1,6,0,7,1,4,3,0,1,0,3,14,1,4,4,7,0,0,0,9,2,23,0,2,0,0,1,3,0,2,0,4,2,3,0,9,0,3,18,94,112,4.086956522,49,1,51,2.833333333,0.611111111,0.585106383,20.53777778,17.24340426,34,0.303571429
C,5,2,2,22,25,3,11,1,2,0,0,0,0,1,4,1,1,0,0,0,1,0,1,16,101,0,26,0,0,0,0,1,4,0,0,1,2,0,0,1,5,0,0,22,147,169,5.88,-8,0.888888889,111,5.045454545,0.954545455,0.789115646,6.96,3.397006803,143,0.846153846
HCHC,5,2,2,19,28,3,9,1,8,0,0,1,4,0,0,0,6,0,0,0,1,0,0,3,96,0,4,0,2,1,1,1,2,0,1,0,0,0,0,3,13,1,3,11,141,152,6.409090909,9,0.888888889,104,9.454545455,0.818181818,0.936170213,19.06181818,7.753475177,103,0.677631579
HCC7,5,2,2,19,18,5,5,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,2,0,4,1,1,0,0,0,1,0,0,0,0,0,1,0,2,2,20,22,0.833333333,139,0.666666667,-3,-1.5,0.5,0.7,24.14,22.968,2,0.090909091
HCPT,5,2,2,20,24,3,11,2,3,0,0,0,1,0,8,1,0,0,0,0,0,0,1,11,117,0,20,0,0,0,0,0,3,0,0,0,0,0,0,2,6,0,1,16,160,176,6.956521739,-15,0.777777778,125,7.8125,1,0.8125,8.8375,3.54775,148,0.840909091
C7C7,5,2,2,21,27,3,9,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,13,128,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,17,135,152,5.625,9,0.666666667,99,5.823529412,0.941176471,1,5.68,1.159703704,141,0.927631579
C7PT,5,2,2,20,25,1,0,0,0,0,0,2,8,0,0,1,2,0,0,0,0,0,0,11,111,0,2,0,0,0,0,0,1,0,0,2,16,0,0,2,8,0,0,18,148,166,7.047619048,-5,0.666666667,123,6.833333333,1,0.986486486,9.157777778,5.345135135,124,0.746987952
PTPT,5,2,2,21,43,3,1,5,20,0,0,2,7,0,0,0,0,0,0,2,2,1,2,11,114,0,14,0,0,0,0,1,2,0,0,1,0,0,0,4,13,1,3,28,177,205,7.375,-44,0.777777778,133,4.75,0.928571429,0.892655367,15.39571429,7.314350282,139,0.67804878
C,6,2,2,20,30,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98,2,18,2,4,0,2,0,0,0,0,2,9,0,0,0,1,0,2,21,134,155,5.583333333,6,0.444444444,91,4.333333333,0.904761905,0.835820896,3.80952381,2.871940299,133,0.858064516
HCHC,6,2,2,24,67,1,6,0,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,6,106,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,5,0,2,14,118,132,4.72,29,0.888888889,45,3.214285714,1,0.974576271,14.38571429,2.595254237,112,0.848484848
HCC7,6,2,2,16,28,8,35,4,8,0,0,1,8,0,0,1,1,0,0,0,0,0,0,10,97,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,18,119,137,4.958333333,24,0.666666667,56,3.111111111,1,0.991596639,11.64888889,4.225210084,108,0.788321168
HCPT,6,2,2,21,40,2,16,0,0,0,0,2,4,0,0,1,2,0,0,2,6,0,0,17,65,0,26,0,0,0,0,1,2,0,4,0,0,0,0,1,4,0,0,24,113,137,4.913043478,24,0.666666667,57,2.375,1,0.734513274,6.868333333,4.773097345,108,0.788321168
C7C7,6,2,2,20,11,3,10,2,6,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,2,0,0,1,8,0,0,8,22,30,0.956521739,131,1,1,0.125,1,1,25.175,25.11272727,1,0.033333333
C7PT,6,2,2,19,25,3,2,1,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,5,0,27,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,39,44,1.772727273,117,0.666666667,12,2.4,1,0.282051282,24.968,4.014358974,32,0.727272727
PTPT,6,2,2,21,23,4,21,2,2,0,0,0,0,0,0,3,30,1,7,1,0,0,0,7,95,1,44,5,12,1,1,1,0,0,0,1,2,0,0,3,14,0,0,26,207,233,8.28,-72,0.888888889,163,6.269230769,0.884615385,0.748792271,17.03076923,8.690048309,147,0.630901288
C7PT,7,2,2,22,14,1,11,1,3,0,0,1,2,0,2,1,1,0,0,0,1,0,0,8,89,0,1,0,0,0,0,2,3,0,0,0,1,0,0,1,6,0,0,14,109,123,4.739130435,38,0.888888889,84,6,1,0.972477064,11.52857143,4.473761468,98,0.796747967
PTPT,7,2,2,24,25,1,12,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,115,0,21,1,0,0,1,1,0,0,0,1,0,0,1,1,2,0,0,23,145,168,5.8,-7,0.777777778,108,4.695652174,1,0.84137931,5.427826087,1.584,154,0.916666667
HCPT,7,2,2,19,15,4,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,65,1,12,1,2,0,0,1,3,0,0,1,2,0,0,1,4,1,4,18,92,110,4,51,0.666666667,69,3.833333333,0.833333333,0.826086957,10.07777778,4.250869565,88,0.8
C,1,2,4,19,4,2,23,1,13,1,1,3,10,1,3,4,15,0,4,0,0,0,2,1,125,0,43,2,9,0,5,1,5,1,4,0,21,2,1,4,43,1,1,22,305,327,14.52380952,-55.33333334,1,158,7.181818182,0.727272727,0.790163934,23.98363636,11.31829508,169,0.516819572
HCHC,1,2,4,23,29,2,12,1,13,0,0,0,9,0,0,1,12,0,0,0,0,0,1,0,33,0,9,0,11,0,4,0,9,0,1,1,21,0,1,2,10,2,4,7,138,145,5.52,126.6666667,1,45,6.428571429,0.714285714,0.855072464,27.09714286,16.85304348,42,0.289655172
